address,level,
0x7f41b4315885ab8c6c7100628dcf7ca842d77824,high,",('0x7f41b4315885ab8c6c7100628dcf7ca842d77824','high')"
0x409df881d7d15350cded7f0db056372b6381b39f,high,",('0x409df881d7d15350cded7f0db056372b6381b39f','high')"
0xbae4d296732c271f3d98a975752026dd9629a568,high,",('0xbae4d296732c271f3d98a975752026dd9629a568','high')"
0x086c8eb60313aa0430cbd9da57a722652c3053c9,high,",('0x086c8eb60313aa0430cbd9da57a722652c3053c9','high')"
0xf919c711489fb1f9a4b92521d39355c976010e50,high,",('0xf919c711489fb1f9a4b92521d39355c976010e50','high')"
0x619c436436544e5bf55c8c8732c9b04a8b8431a7,high,",('0x619c436436544e5bf55c8c8732c9b04a8b8431a7','high')"
0x1e0fca9a61b45a2d72dae2124c8b92f67ca47595,high,",('0x1e0fca9a61b45a2d72dae2124c8b92f67ca47595','high')"
0x12fb6451ce7e24c71a6fa19fc94a5b2324243456,high,",('0x12fb6451ce7e24c71a6fa19fc94a5b2324243456','high')"
0x81c3e7c6aed5af300c93902fe6e8538c7bf8768a,high,",('0x81c3e7c6aed5af300c93902fe6e8538c7bf8768a','high')"
0xd4735ad226c86d2610c4d11d7d9979527c31db48,high,",('0xd4735ad226c86d2610c4d11d7d9979527c31db48','high')"
0xe6a9b433147568ffc7f97c45e9ef3613d1c10d6f,high,",('0xe6a9b433147568ffc7f97c45e9ef3613d1c10d6f','high')"
0x45c705d4c7d68ce61e2bcf2bd0311c6914c753fe,high,",('0x45c705d4c7d68ce61e2bcf2bd0311c6914c753fe','high')"
0x6efbc0606dd4ee1d5ca36b4b88a253c4a08b7cbb,high,",('0x6efbc0606dd4ee1d5ca36b4b88a253c4a08b7cbb','high')"
0x5970d40106e93b3e0df0d72d275dc8d723966124,high,",('0x5970d40106e93b3e0df0d72d275dc8d723966124','high')"
0x887e6ed4e14d965da2cdb3132be9c815d1361be5,high,",('0x887e6ed4e14d965da2cdb3132be9c815d1361be5','high')"
0xe5f498681d23dcb45573fe0db45fd88f60d8b336,high,",('0xe5f498681d23dcb45573fe0db45fd88f60d8b336','high')"
0xe2263c196f8f99c4dd019629b6fc62b72954e0d3,high,",('0xe2263c196f8f99c4dd019629b6fc62b72954e0d3','high')"
0x80219a49c4ea7a0b06429b2fd03c15a8b74ecb0a,high,",('0x80219a49c4ea7a0b06429b2fd03c15a8b74ecb0a','high')"
0x92e3827752fa217450999dfb0333150a5cd99ec2,high,",('0x92e3827752fa217450999dfb0333150a5cd99ec2','high')"
0x50eca6abe659aa859c4da90e3a6bc5b10aa9eec2,high,",('0x50eca6abe659aa859c4da90e3a6bc5b10aa9eec2','high')"
0xe1bfff072386b6c11715aab3d873d3dda0640182,high,",('0xe1bfff072386b6c11715aab3d873d3dda0640182','high')"
0xf0b518228da99c4b05b5e9a58090da6acdc1a772,high,",('0xf0b518228da99c4b05b5e9a58090da6acdc1a772','high')"
0xd1c2d4ef5d4788b48eb3d116b7ba63e39d08bbcf,high,",('0xd1c2d4ef5d4788b48eb3d116b7ba63e39d08bbcf','high')"
0x204a40a3a509d2cd48b58ffd55c098f631ec8153,high,",('0x204a40a3a509d2cd48b58ffd55c098f631ec8153','high')"
0x2a4b14ce96954848d5b63e1beb510afd262d4c76,high,",('0x2a4b14ce96954848d5b63e1beb510afd262d4c76','high')"
0xd8c28e918ec69efee8ced1b1d6208aae1f05a422,high,",('0xd8c28e918ec69efee8ced1b1d6208aae1f05a422','high')"
0x7545e648b2b82e05d47190c27e2d41aea2e7b603,high,",('0x7545e648b2b82e05d47190c27e2d41aea2e7b603','high')"
0x7129230eccc0b0c2a719571579f58adda0b4dfca,high,",('0x7129230eccc0b0c2a719571579f58adda0b4dfca','high')"
0xb79f03786d22c460c45cbcc67ebdc2e9f0afb7a9,high,",('0xb79f03786d22c460c45cbcc67ebdc2e9f0afb7a9','high')"
0x25c1f3c39bc359aceb6018e290f32ba8a70d5742,high,",('0x25c1f3c39bc359aceb6018e290f32ba8a70d5742','high')"
