address,all_rule_score,level
0x6fcb676c0b8f8121c63ebd139dcf18227b146ccf,9,high
0xb0736bbee0039006f3ab5c5677795c72d37c3e4d,9,high
0x28d6906dfe85a0a31ecadb35e5256f627b565723,9,high
0x7298b394f1bb87903b0fddfdeb9b6a0e29c95f81,9,high
0x0449e53aa1a3f75133df621d0ee755d5381a934e,9,high
0x0b289003cf328d3a07682a85b1facdc6ffdd47b7,9,high
0xc58fc0a8e337176f19bcb6ddc2096005b2c3855d,9,high
0xd6be79895cc9231fcb0691bec559066f3833e4d2,9,high
0xc6615588bd57de5d69643acfa9f249640407a9ce,9,high
0x4281316c4a3409486e0cf90f2b25281eb641564a,9,high
0x2843df57e6317a118aa857fe7afbedb6d7ffacfe,9,high
0x39eecfb398d83695afe4955f43d98e1742284a02,9,high
0x423e2df4396f1a2a2a28e580c6bfb3032b10b7a9,9,high
0x20c305d3082304dcda9ca3e0f9fe00cfdc62b7ed,9,high
0x45eea896b3a833875df6f707e1c6c969a507e104,9,high
0xe3d7c6dbe493bceb7a79094f85928fbd52fbaab3,9,high
0x58981451675c9332f3f90d21f4034b3a99ee3397,9,high
0xa2deceea037d10c0a54879eafadf500eec5ad58f,9,high
0xfcbcdd5c84cb6d9192775c615340677ee214071a,9,high
0xaff89fcdb511311cec8716fc159e194696566909,9,high
0x4a35674727c44cf4375d80c6171281ba2f764213,9,high
0x58a448a80825b50fc8d4d82ed66867c36b1a546b,9,high
0xdccb30c241fe6dd877c0ff197f79fd6a5bff454e,9,high
0x7b134edbaeba26b5618faf9ac8037de7f797e03c,9,high
0xf46e77b9ca16e33b2ebb5c6e11ae64398592b740,9,high
0xf3800f62da457c2bd9f42eb81aaef46d3f0d0748,9,high
0xcf742db7655b29442bc25878a5521ab8d7ea1edc,9,high
0x5a1c1944f75c4e77223597e978332c8eff3c955e,9,high
0xa965a9709fbbf1ede317cf23b407648af9596316,9,high
0x080347ad7d9c8bf81b94058736faf3f9002a8af8,9,high
0x3fdd190787d587acf40d5b3dd01c983a2e836e1a,9,high
0x1131d009de47e341523ff3c6f8dc52975c21349b,9,high
0xf720ba95c948fa4e7a2f61216be629dfa9be1af5,9,high
0x268800067dc9841f03771e133d9fb92997c40679,9,high
0x429708d3f1f93565991d7fbc1619c698f7e1dd25,9,high
0xd2e44e40b5fb960a8a74dd7b9d6b7f14b805b50d,9,high
0xc6491e1ec087a967736519b95da9673e715e2026,9,high
0x4eca3917a0d5a8cb3456475eae44a27c2a6938f3,9,high
0xa9474eb495a46a1754ffac69fe78a6f923b497cd,9,high
0x16ab6ef936f89f57acb715c88aaacaadf4c77712,9,high
0x4aca0b687855f31ab92821ab3d640f2606fd78f9,9,high
0x457af9266f8af3417d784c2291fc50b1249c2553,9,high
0xed11a7e7c14de413cf5449de3bc0c9dfed149b46,9,high
0x42b7229fee89492f14c0cd649e7e57facfa0bff5,9,high
0xae2041045be9ec3557ba3ba2d814da98f30ab7ca,9,high
0x55907cf476998d2f58591c6d0a10ecbbe249a8eb,9,high
0x9cb5da2d4abad21cc1c2d4da950574c8475f60aa,9,high
0xe7f76ad657ee0a6a6106186f8423bc1960c6788a,9,high
0xb847ac1bc1e7c0fc668412fab037bd5fa841bf77,9,high
0xa282afc130ba0da32ba777a8cd580aefc521fa93,9,high
0x5110a0e0a4644dc76b738f9acb75fe598a2780b3,9,high
0x2039bf6018970ba66e8215ca848c87d398902eb2,9,high
0x415e7be5102a8de658b966b4b2b0297ad84d257d,9,high
0x281cc080fe247f6f58a189e3c8e97d1ae623b911,9,high
0x4fb5fee13ad69b72b2427e079f19cf0b1ffb0a4f,9,high
0xc9ddd1616d79facddf58fa73a9bdbc1330dbe338,9,high
0x36f4851a52dfb091667097cbad2a8ba2aad7a662,9,high
0x8d934132f7275057845d0278baa34e3eab519867,9,high
0x3b203b273c824ede7116bc384e956b7b677c4e75,9,high
0xfb48f925b1d0bbded46842078a4d99c9f7abbe68,9,high
0x4390a0b516498598cc4c16dc70a4fdd1affccc1f,9,high
0xdd252da0914be95743ce5ff3234c69e68ba4479b,9,high
0x085697ea0aeaba9c3bec01fa27492eb9a4cec0cc,9,high
0x7ec2f52f662e90e76c487b9c61d7516391cf2acb,9,high
0xf01b0ddebd3c22125ac691489a856d7e562ba534,9,high
0xb6c8240fb712df01b2d9331b691c0baea627425f,9,high
0xf861fbfe03a449e5401a2d55533ab4e344c872e2,9,high
0xec061cb955beaa8d1ff684616ddf3ac23cca9953,9,high
0xdf84f391dd2e3a212d88b491065b25f3ab19a441,9,high
0x176a20c82bc816cd0100cf3d73de2745c5f18859,9,high
0xff14187e55986891e7690b8e62c43a14494ad62f,9,high
0xe5d0a9e7255646e5dddb781a2e5afbec316dfea5,9,high
0xe0fdfb6e63c352e61673dbf71e4a99de4f3a5e6d,9,high
0x1446d66ed8d7e79ac1487f5ea31c18c226452420,9,high
0xe15427495141b5b961e50885a9b0b6bc15edc3c2,9,high
0xacf06964108bd04e79e0b2ce39139e3e76c3a217,9,high
0xa6c5b6fe16f0d059df6e0d51c1ee2979cb1e2356,9,high
0xe292358139cde9e75f65983b6e27d89a05b2888d,9,high
0xbe5327f1aac3ecf324df532464086a36ccb4765f,9,high
0xd3cc36ec6669a42327c42b3df5dfb70bc7d08da3,9,high
0x49c604e07338ce062efe23570e9732727dc55f6f,9,high
0xd513d516f9fb0ddfabee8e98a1dc8a0dff9dea64,9,high
0x489fbc137636ce821598a22f2ab86c1de52497d9,9,high
0x266531908931270e306a968e6ff2a5c5b69ec937,9,high
0xc5ee6406a54e9f0e09416cb9f32d094f2cd2ff04,9,high
0x14d5fe524e8b682c6a55443b7fb31852d0eba394,9,high
0x4a17f19a7b7fd329f97db116c2a09798f8c57ad0,9,high
0x031a10088c9ca7e9fe025cc6c83c28453218e18d,9,high
0x299dad8090d686e947633c950cd110be9c23cb85,9,high
0x2fc27f7101aac6d1a5be87d785783fa2da103c64,9,high
0xe77fe425b1356e20b935bda08faa05d078008dd1,9,high
0x8b755129dab7fb59f665bca5827220442f2cef0e,9,high
0x5f50f5f532305a1368c62a100acb808138ce1579,9,high
0x78c96850dfacede6c9235f50da3fb688270f4509,9,high
0xd2ed47796eed6f2ff266e91ddc35542bde0fb673,9,high
0xadfa76c6985870c185056c4f0080be686b63af22,9,high
0x56c68eed0444073dcef0804a5ef8b8a09e9b07f7,9,high
0x9c628eb38415809589dd087dbc4bb7b3e8416c03,9,high
0x6f6f2166eebf06df3c1d697b6c79ab9f56e1ee14,9,high
0x8d6662deb08786547af2c10aa609d469e545baf8,9,high
0xadf2feaf880b403190462fad02f822db3c8bc6ca,9,high
0x8edb046b1dcaa1222d4779eb814c15f2f358f6b7,9,high
0x3c75b6d8c222e6fb6e337215ac6ea3b9f117abe4,9,high
0xa5d18ace0484ded8c54eb7d618fe8ddb1036f795,9,high
0xd9530d8f19999e6b73154843b8604b0669b48033,9,high
0xdcdf584dc0860361e5f9bc7ce0206fc9617e4b30,9,high
0xbae3991f8bbd92deab2031ea3cf46804b61c4586,9,high
0xdccfe01313ac49a3954a37f832de0e8677caf9da,9,high
0x8cf1a6b42dd22f423906afc10fb779115289d495,9,high
0x660efb8d64fffed7be81d2c556633852bccd6485,9,high
0xe8fdade4b4ad622e54b57035ad226835c2189152,9,high
0x3e0155d56a4e634e7bda68dd9978b8a85f4cc010,9,high
0x4e118f232918bb3d5e67331af258f1a55412395d,9,high
0x62b2d7ab12251f19d8fbbd7984d6a78cdbe92ad8,9,high
0xa45506fad5e059dff4003555e5ff5cd9c24b8ac7,9,high
0x0156c15a7e89c86e01b41fa1f654c967ba30737a,9,high
0xad34ed880cb16039907476fbcbb5891045ef4b58,9,high
0x2b605d8066f0456a4e91d24422dd753e812a4b38,9,high
0x9f8b1c5fff84907d10e0703756896b749ffb2945,9,high
0xb04ef585a30811785e6b19b6eb318094ffdb876a,9,high
0xd60b8d278a98e068eaf3508e95cf1b0089961288,9,high
0xc1e168983d9aebf7748feaed8c10aec49d99b844,9,high
0x8cb657a7aca6df059c20d8709edb7c500390f974,9,high
0x459d3d5ee9a3480ac96d001fbef250cb1246c395,9,high
0x8c516910bec213d2709e1d076db4c65c3c1fc829,9,high
0x8f283fb9ca9403301f84f8ca92fe7c8c279e40bb,9,high
0xcb78e1819338d506a18aa8de35fd3a4a6970d525,9,high
0x6d97d65adff6771b31671443a6b9512104312d3d,9,high
0x09b96f009cf398f4a21dbc7c4ecfe807fa5f8666,9,high
0x545e3a3eee2a4bb85283f73ed4862a3b834c7ef3,9,high
0x8a2ceac21b406282908d29a5305bf3178d8f2161,9,high
0xe7b7cbd142226994b2dcaa2c8f150fde1e954c42,9,high
0xeed2f49c10b472f9a5c75865ae8e58173bb84ab3,9,high
0x5a579b9fa11a2ea8272bf3080d34d238dd874d03,9,high
0x747e109b9ba062839c1cbb7608d420b03111ecd3,9,high
0x915fa03974db07c1af8b64f33808eedb11280552,9,high
0x8b9cddaf6c2ae2bfb8e9dcc25cfa32dda6d6d0cd,9,high
0xd687c7e1c471f9744bc827fabe3a48ccbf933569,9,high
0xf076c05a33c89c9bb0773668a33569dd17bbab50,9,high
0x061db4dc89c425736b870fc68fb376564fd3e1b5,9,high
0x7288cb5036be5eb473cc01fca222fe77d91ae287,9,high
0x1890cb046c4c4dc5506220ae2efa0a9d1447c5a4,9,high
0xa4b7145111c7ba7d1bc12baf8ff75036877f295e,9,high
0x1334fdd8ae0694168785aca024768f1d99b65ff9,9,high
0x7d3c5354e68e41254c0cb9236382cd15a7db4d27,9,high
0xb567c9050e5b903d19c61af60db7698a24efa7b9,9,high
0x73add3597dcf8dab29d2d9552375ac1df4ec89a8,9,high
0x342db20cd767d6bad7905890b42626bbed7ec0e9,9,high
0x4188894198cd31a1cabd3c090c5d055d913c1bec,9,high
0xabd9521f8438f65d5d83042871a4f3fd4fb1202b,9,high
0x9509301352f43b8a17b5100a7378dc58cbd4986a,9,high
0x25e10998119245c431c04c73cf09a6bb48e7b145,9,high
0xe53b9c611d21ab9225ecfccedd11eb4d4b5c2bbf,9,high
0x83034ad1545eb963ca40c9bd5fe968a6741804ae,9,high
0xa90b30fb5f0109f48ec226a71d224a6e81611cc5,9,high
0x7ce8e9d1aa3595017bfe4b46d097c17f297afa6c,9,high
0x52525a3eeff5af67e385dd2cb23b6aa986bfaea7,9,high
0x3bc6053823e80d9b209adef3d519fc88146f3503,9,high
0xed65a748fbea7a81546dc5349b816271fead2ac3,9,high
0x35ee67b351beb841fb60bb3f98d3664c9c264248,9,high
0x3104034b68317de2828cd6a0bc4bda87f1da4e88,9,high
